EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-14.624,-8.283,-5.948,-1.627,-4.302,2.090,1.157,2.815,-0.160,0.999,0.096,1.465,0.580,-0.641,60.000,20226.000,1.000
-13.312,-7.501,-4.622,0.138,-2.833,3.340,1.392,3.663,-0.160,0.997,0.098,1.495,0.519,-0.702,60.000,20227.000,1.000
-11.549,-6.430,-3.478,0.975,-1.071,4.300,1.968,3.959,-0.159,0.997,0.097,1.526,0.519,-0.641,60.000,20228.000,1.000
-9.620,-4.990,-2.420,1.363,0.614,5.154,2.630,4.215,-0.159,0.997,0.094,1.404,0.610,-0.702,60.000,20229.000,1.000
-7.865,-3.122,-1.212,1.991,1.810,6.113,3.155,5.007,-0.160,0.997,0.091,1.312,0.732,-0.732,60.000,20230.000,1.000
-6.726,-1.494,-0.553,2.394,2.131,6.573,3.224,5.665,-0.159,0.995,0.093,1.404,0.763,-0.732,60.000,20231.000,1.000
-6.403,-1.035,-1.495,1.542,1.565,5.734,2.629,4.956,-0.159,0.995,0.095,1.465,0.763,-0.793,60.000,20232.000,1.000
-6.624,-1.976,-4.006,-0.492,0.489,3.721,1.497,2.785,-0.160,0.995,0.095,1.343,0.824,-0.854,60.000,20233.000,1.000
-6.856,-3.624,-6.658,-2.186,-0.696,1.582,0.162,0.509,-0.161,0.996,0.094,1.312,0.946,-0.885,60.000,20234.000,1.000
-6.782,-5.167,-8.057,-2.244,-1.857,0.051,-1.253,-0.703,-0.161,0.995,0.092,1.160,1.007,-0.916,60.000,20235.000,1.000
-6.509,-6.447,-8.265,-1.222,-3.047,-1.287,-2.970,-1.296,-0.162,0.997,0.096,1.190,0.885,-1.007,60.000,20236.000,1.000
